period_end,fiscal_year,fiscal_period,period_type,Revenue,GrossProfit,OperatingIncome,NetIncome,revenue_fact_id,accession_no,filing_url
2026-01-31,2026,Q2,Q,2594000000.0,1909000000.0,397000000.0,432000000.0,7861f4e2d17e1946,0001327567-26-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756726000005/
2025-10-31,2026,Q1,Q,2474000000.0,1836000000.0,309000000.0,334000000.0,351ccbad86c886a7,0001327567-25-000035,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000035/
2025-04-30,2025,Q3,Q,2289000000.0,1669700000.0,218800000.0,262100000.0,f0dc0834c68e6426,0001327567-25-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000017/
2025-01-31,2025,Q2,Q,2257000000.0,1658000000.0,241000000.0,267000000.0,9f64525ff77c11b6,0001327567-26-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756726000005/
2024-10-31,2025,Q1,Q,2139000000.0,1585000000.0,286000000.0,351000000.0,270cb4bd97a39ca9,0001327567-25-000035,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000035/
2024-04-30,2024,Q3,Q,1984800000.0,1471200000.0,176700000.0,278800000.0,a8d39c18e167049e,0001327567-25-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000017/
2024-01-31,2024,Q2,Q,1975100000.0,1476000000.0,53600000.0,1746900000.0,cebf1cc7205b8b5e,0001327567-25-000010,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000010/
2023-10-31,2024,Q1,Q,1878100000.0,1405300000.0,215200000.0,194200000.0,46941241651c0459,0001327567-24-000040,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000040/
2023-04-30,2023,Q3,Q,1720900000.0,1246100000.0,78700000.0,107800000.0,10829e58186d6641,0001327567-24-000017,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000017/
2023-01-31,2023,Q2,Q,1655100000.0,1188900000.0,39900000.0,84200000.0,7d19cab148678fcf,0001327567-24-000005,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000005/
2022-10-31,2023,Q1,Q,1563400000.0,1101500000.0,15200000.0,20000000.0,6aa75ad165185d12,0001327567-23-000032,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000032/
2022-04-30,2022,Q3,Q,1386700000.0,946200000.0,-47600000.0,-73200000.0,e8844d1e8a3e02f0,0001327567-23-000014,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000014/
